3932,1112,1249,1115,1250
3933,1461,1251,1252,1250
3934,1084,1251,1461,1250
3935,1345,1252,1251,1250
3936,1093,1324,1251,1250
3937,1084,1093,1251,1250
3938,1087,1105,1103,1253
3939,1337,1358,1357,1254
3940,1337,1254,1357,1255
3941,1474,1255,1254,1253
3942,260,1256,287,1257
3943,1086,1337,1336,1255
3944,1086,1255,1126,1253
3945,1103,1258,1337,1253
3946,288,1444,1445,1259
3947,270,1260,273,1261
3948,1409,1262,1263,1261
3949,281,1430,1263,1261
3950,1549,1263,1262,1261
3951,264,1263,1549,1261
3952,264,281,1263,1261
3953,277,279,1264,1265
3954,287,1557,675,1558
3955,1515,1266,1264,1265
3956,262,1267,1543,1265
3957,279,1545,1264,1265
3958,277,1433,278,1265
3959,262,278,1268,1265
3960,1543,1266,1544,1265
3961,1371,1372,1393,1269
3962,1412,1264,1266,1265
3963,285,1560,1561,1270
3964,285,1259,1560,1270
3965,1423,1271,1259,1270
3966,1117,1456,1455,1272
3967,1503,1273,1274,1254
3968,272,1552,1553,1275
3969,288,1444,1259,1270
3970,1128,1129,1276,1277
3971,1273,1278,1274,1254
3972,292,1279,295,1270
3973,285,288,1259,1270
3974,1126,1255,1474,1253
3975,1125,1127,1277,1255
3976,1126,1197,1475,1476
3977,1369,1391,1390,1280
3978,1474,1254,1504,1253
3979,1474,1475,1254,1255
3980,1125,1128,1477,1277
3981,1125,1128,1195,1477
3982,1506,1507,1281,1277
3983,1499,1500,1529,1282
3984,1511,1512,1542,1283
3985,1506,1277,1281,1255
3986,1357,1254,1281,1255
3987,1335,1356,1277,1255
3988,1393,1267,1284,1283
3989,1356,1281,1277,1255
3990,1477,1285,1507,1277
3991,1401,1402,1423,1271
3992,1471,1472,1502,1286
3993,1497,1256,1287,1288
3994,1125,1126,1127,1255
3995,1571,1568,1538,1289
3996,1278,1290,1279,1291
3997,1089,1204,1205,1468
3998,1336,1357,1356,1255
3999,1563,1279,1290,1291
4000,293,297,294,1290
4001,1396,1397,1418,1289
4002,1374,1292,1395,1293
4003,293,1290,294,1291
4004,1496,1526,1525,1294
4005,291,1565,667,1566
4006,294,1290,616,1291
4007,295,1443,1279,1291
4008,277,1264,1433,1265
4009,295,617,1442,1291
4010,294,617,295,1291
4011,1371,1269,1392,1295
4012,304,1296,1437,1297
4013,1511,1283,1541,1296
4014,302,1283,1436,1296
4015,303,1296,304,1297
4016,300,1283,302,1296
4017,300,1541,1283,1296
4018,303,1540,1296,1298
4019,303,1539,1540,1298
4020,1504,1505,1273,1254
4021,1478,1276,1285,1277
4022,293,294,295,1291
4023,1503,1254,1258,1253
4024,1127,1335,1277,1255
4025,1087,1126,1474,1253
4026,1505,1281,1273,1254
4027,1273,1281,1278,1254
4028,1127,1336,1335,1255
4029,1563,1279,1273,1290
4030,1533,1274,1273,1279
4031,1375,1397,1396,1299
4032,295,1279,1443,1270
4033,1571,1538,1508,1299
4034,1395,1293,1292,1298
4035,1354,1375,1374,1300
4036,1129,1333,1130,1276
4037,284,1439,1440,1301
4038,1503,1273,1533,1274
4039,1505,1535,1273,1281
4040,1535,1273,1302,1290
4041,1122,1453,1303,1304
4042,1350,1303,1371,1304
4043,1110,1114,1215,1457
4044,1522,1275,1552,1260
4045,1396,1418,1417,1289
4046,1354,1355,1375,1276
4047,1371,1269,1295,1304
4048,1120,1328,1272,1304
4049,1127,1176,1335,1336
4050,1119,1122,1303,1304
4051,1119,1303,1329,1304
4052,305,1438,1289,1297
4053,1119,1330,1329,1303
4054,1341,1362,1361,1305
4055,1124,1175,1334,1335
4056,1119,1329,1120,1304
4057,289,1559,1560,1259
4058,270,1550,1260,1261
4059,281,1263,1431,1306
4060,1475,1281,1254,1255
4061,1528,1558,1256,1257
4062,274,1548,1263,1306
4063,1408,1262,1409,1261
4064,274,1263,281,1306
4065,1499,1282,1288,1305
4066,1529,1288,1282,1259
4067,1499,1529,1288,1282
4068,1086,1177,1336,1337
4069,1531,1282,1307,1271
4070,1501,1307,1282,1308
4071,293,1563,1290,1291
4072,291,298,297,1290
4073,1392,1414,1413,1267
4074,1333,1354,1300,1276
4075,1535,1302,1565,1290
4076,291,297,1565,1290
4077,1116,1309,1451,1310
4078,1476,1277,1506,1255
4079,1125,1197,1126,1476
4080,1129,1334,1276,1277
4081,1125,1477,1476,1277
4082,1451,1309,1481,1310
4083,1507,1508,1538,1299
4084,1375,1376,1397,1299
4085,1479,1293,1292,1310
4086,1449,1479,1300,1310
4087,1108,1449,1300,1310
4088,1481,1309,1293,1310
4089,1481,1284,1293,1309
4090,1511,1293,1284,1296
4091,1510,1541,1540,1296
4092,1414,1436,1435,1283
4093,1510,1511,1541,1296
4094,1513,1269,1514,1267
4095,1334,1355,1354,1276
4096,1099,1203,1107,1469
4097,1519,1311,1520,1262
4098,307,1568,1572,1289
4099,1124,1127,1175,1335
4100,1466,1467,1497,1287
4101,1124,1335,1334,1277
4102,1374,1292,1293,1310
4103,1368,1389,1311,1312
4104,1368,1312,1311,1313
4105,1367,1311,1388,1262
4106,1520,1262,1311,1252
4107,274,685,684,1548
4108,1488,1311,1518,1312
4109,1488,1311,1312,1313
4110,276,686,685,1547
4111,1571,1289,1299,1298
4112,1519,1549,1263,1262
4113,1088,1098,1182,1342
4114,262,1543,689,1544
4115,1570,1571,1299,1292
4116,1570,1292,1299,1276
4117,1479,1509,1292,1293
4118,1114,1249,1458,1313
4119,1458,1249,1488,1313
4120,1474,1475,1505,1254
4121,1369,1272,1312,1313
4122,1334,1335,1355,1277
4123,1337,1338,1358,1258
4124,1569,1570,1478,1276
4125,1086,1103,1337,1253
4126,1086,1087,1103,1253
4127,1486,1312,1272,1313
4128,1103,1178,1337,1338
4129,1086,1176,1127,1336
4130,277,1432,608,1433
4131,1110,1456,1272,1313
4132,1394,1416,1415,1296
4133,279,280,1545,1265
4134,301,1542,1543,1267
